xdate,yType,error_sum
20100104,Bondmink,0
20100105,Bondmink,0
20100106,Bondmink,0
20100107,Bondmink,0
20100108,Bondmink,0
20100111,Bondmink,0
20100112,Bondmink,0
20100113,Bondmink,0
20100114,Bondmink,0
20100115,Bondmink,0
20100118,Bondmink,0
20100119,Bondmink,0
20100120,Bondmink,0
20100121,Bondmink,0
20100122,Bondmink,2
20100125,Bondmink,55
20100126,Bondmink,4
20100127,Bondmink,2
20100128,Bondmink,1
20100129,Bondmink,1
20100201,Bondmink,0
20100202,Bondmink,0
20100203,Bondmink,1
20100204,Bondmink,1
20100205,Bondmink,1
20100208,Bondmink,0
20100209,Bondmink,0
20100210,Bondmink,0
20100211,Bondmink,1
20100212,Bondmink,1
20100222,Bondmink,2
20100223,Bondmink,0
20100224,Bondmink,1
20100225,Bondmink,1
20100226,Bondmink,2
20100301,Bondmink,0
20100302,Bondmink,0
20100303,Bondmink,0
20100304,Bondmink,4
20100305,Bondmink,3
20100308,Bondmink,2
20100309,Bondmink,2
20100310,Bondmink,0
20100311,Bondmink,2
20100312,Bondmink,4
20100315,Bondmink,2
20100316,Bondmink,0
20100317,Bondmink,3
20100318,Bondmink,2
20100319,Bondmink,2
20100322,Bondmink,0
20100323,Bondmink,0
20100324,Bondmink,0
20100325,Bondmink,4
20100326,Bondmink,1
20100329,Bondmink,1
20100330,Bondmink,0
20100331,Bondmink,0
20100401,Bondmink,0
20100402,Bondmink,0
20100406,Bondmink,0
20100407,Bondmink,0
20100408,Bondmink,2
20100409,Bondmink,1
20100412,Bondmink,2
20100413,Bondmink,3
20100414,Bondmink,57
20100415,Bondmink,2
20100416,Bondmink,3
20100419,Bondmink,6
20100420,Bondmink,2
20100421,Bondmink,1
20100422,Bondmink,2
20100423,Bondmink,5
20100426,Bondmink,3
20100427,Bondmink,2
20100428,Bondmink,0
20100429,Bondmink,0
20100430,Bondmink,2
20100504,Bondmink,1
20100505,Bondmink,3
20100506,Bondmink,4
20100507,Bondmink,0
20100510,Bondmink,0
20100511,Bondmink,2
20100512,Bondmink,1
20100513,Bondmink,1
20100514,Bondmink,0
20100517,Bondmink,2
20100518,Bondmink,0
20100519,Bondmink,0
20100520,Bondmink,0
20100521,Bondmink,0
20100524,Bondmink,0
20100525,Bondmink,2
20100526,Bondmink,1
20100527,Bondmink,2
20100528,Bondmink,0
20100531,Bondmink,2
20100601,Bondmink,0
20100602,Bondmink,0
20100603,Bondmink,0
20100604,Bondmink,0
20100607,Bondmink,0
20100608,Bondmink,0
20100609,Bondmink,1
20100610,Bondmink,2
20100611,Bondmink,3
20100617,Bondmink,4
20100618,Bondmink,0
20100621,Bondmink,0
20100622,Bondmink,0
20100623,Bondmink,0
20100624,Bondmink,0
20100625,Bondmink,0
20100628,Bondmink,0
20100629,Bondmink,2
20100630,Bondmink,0
20100701,Bondmink,0
20100702,Bondmink,4
20100705,Bondmink,0
20100706,Bondmink,0
20100707,Bondmink,0
20100708,Bondmink,0
20100709,Bondmink,0
20100712,Bondmink,1
20100713,Bondmink,1
20100714,Bondmink,1
20100715,Bondmink,1
20100716,Bondmink,8
20100719,Bondmink,1
20100720,Bondmink,0
20100721,Bondmink,0
20100722,Bondmink,0
20100723,Bondmink,0
20100726,Bondmink,0
20100727,Bondmink,0
20100728,Bondmink,1
20100729,Bondmink,0
20100730,Bondmink,0
20100802,Bondmink,0
20100803,Bondmink,0
20100804,Bondmink,0
20100805,Bondmink,0
20100806,Bondmink,0
20100809,Bondmink,1
20100810,Bondmink,2
20100811,Bondmink,0
20100812,Bondmink,0
20100813,Bondmink,1
20100816,Bondmink,0
20100817,Bondmink,0
20100818,Bondmink,1
20100819,Bondmink,1
20100820,Bondmink,0
20100823,Bondmink,0
20100824,Bondmink,0
20100825,Bondmink,0
20100826,Bondmink,0
20100827,Bondmink,0
20100830,Bondmink,0
20100831,Bondmink,0
20100901,Bondmink,1
20100902,Bondmink,1
20100903,Bondmink,2
20100906,Bondmink,0
20100907,Bondmink,0
20100908,Bondmink,0
20100909,Bondmink,0
20100910,Bondmink,2
20100913,Bondmink,1
20100914,Bondmink,3
20100915,Bondmink,2
20100916,Bondmink,2
20100917,Bondmink,0
20100920,Bondmink,0
20100921,Bondmink,0
20100927,Bondmink,1
20100928,Bondmink,1
20100929,Bondmink,1
20100930,Bondmink,1
20101008,Bondmink,1
20101011,Bondmink,2
20101012,Bondmink,2
20101013,Bondmink,2
20101014,Bondmink,4
20101015,Bondmink,0
20101018,Bondmink,0
20101019,Bondmink,0
20101020,Bondmink,1
20101021,Bondmink,2
20101022,Bondmink,426
20101025,Bondmink,0
20101026,Bondmink,1
20101027,Bondmink,0
20101028,Bondmink,0
20101029,Bondmink,0
20101101,Bondmink,0
20101102,Bondmink,0
20101103,Bondmink,0
20101104,Bondmink,0
20101105,Bondmink,2
20101108,Bondmink,2
20101109,Bondmink,2
20101110,Bondmink,0
20101111,Bondmink,1
20101112,Bondmink,6
20101115,Bondmink,4
20101116,Bondmink,4
20101117,Bondmink,0
20101118,Bondmink,0
20101119,Bondmink,0
20101122,Bondmink,3
20101123,Bondmink,3
20101124,Bondmink,3
20101125,Bondmink,3
20101126,Bondmink,3
20101129,Bondmink,3
20101130,Bondmink,3
20101201,Bondmink,3
20101202,Bondmink,3
20101203,Bondmink,3
20101206,Bondmink,3
20101207,Bondmink,3
20101208,Bondmink,3
20101209,Bondmink,3
20101210,Bondmink,3
20101213,Bondmink,0
20101214,Bondmink,0
20101215,Bondmink,0
20101216,Bondmink,3
20101217,Bondmink,4
20101220,Bondmink,3
20101221,Bondmink,3
20101222,Bondmink,3
20101223,Bondmink,3
20101224,Bondmink,1
20101227,Bondmink,1
20101228,Bondmink,5
20101229,Bondmink,4
20101230,Bondmink,3
20101231,Bondmink,1
20100104,Fundmink,0
20100105,Fundmink,0
20100106,Fundmink,0
20100107,Fundmink,0
20100108,Fundmink,0
20100111,Fundmink,0
20100112,Fundmink,0
20100113,Fundmink,0
20100114,Fundmink,0
20100115,Fundmink,0
20100118,Fundmink,0
20100119,Fundmink,0
20100120,Fundmink,0
20100121,Fundmink,0
20100122,Fundmink,0
20100125,Fundmink,0
20100126,Fundmink,0
20100127,Fundmink,0
20100128,Fundmink,0
20100129,Fundmink,0
20100201,Fundmink,0
20100202,Fundmink,0
20100203,Fundmink,0
20100204,Fundmink,0
20100205,Fundmink,0
20100208,Fundmink,0
20100209,Fundmink,0
20100210,Fundmink,0
20100211,Fundmink,0
20100212,Fundmink,0
20100222,Fundmink,0
20100223,Fundmink,0
20100224,Fundmink,0
20100225,Fundmink,0
20100226,Fundmink,0
20100301,Fundmink,0
20100302,Fundmink,0
20100303,Fundmink,0
20100304,Fundmink,0
20100305,Fundmink,0
20100308,Fundmink,0
20100309,Fundmink,0
20100310,Fundmink,0
20100311,Fundmink,0
20100312,Fundmink,0
20100315,Fundmink,0
20100316,Fundmink,0
20100317,Fundmink,0
20100318,Fundmink,0
20100319,Fundmink,0
20100322,Fundmink,0
20100323,Fundmink,0
20100324,Fundmink,0
20100325,Fundmink,0
20100326,Fundmink,0
20100329,Fundmink,0
20100330,Fundmink,0
20100331,Fundmink,0
20100401,Fundmink,0
20100402,Fundmink,0
20100406,Fundmink,0
20100407,Fundmink,0
20100408,Fundmink,0
20100409,Fundmink,0
20100412,Fundmink,0
20100413,Fundmink,0
20100414,Fundmink,0
20100415,Fundmink,0
20100416,Fundmink,0
20100419,Fundmink,0
20100420,Fundmink,0
20100421,Fundmink,0
20100422,Fundmink,0
20100423,Fundmink,0
20100426,Fundmink,0
20100427,Fundmink,0
20100428,Fundmink,0
20100429,Fundmink,0
20100430,Fundmink,0
20100504,Fundmink,0
20100505,Fundmink,0
20100506,Fundmink,0
20100507,Fundmink,0
20100510,Fundmink,0
20100511,Fundmink,0
20100512,Fundmink,0
20100513,Fundmink,0
20100514,Fundmink,0
20100517,Fundmink,0
20100518,Fundmink,0
20100519,Fundmink,0
20100520,Fundmink,0
20100521,Fundmink,0
20100524,Fundmink,0
20100525,Fundmink,0
20100526,Fundmink,0
20100527,Fundmink,0
20100528,Fundmink,0
20100531,Fundmink,0
20100601,Fundmink,0
20100602,Fundmink,0
20100603,Fundmink,0
20100604,Fundmink,0
20100607,Fundmink,0
20100608,Fundmink,0
20100609,Fundmink,0
20100610,Fundmink,0
20100611,Fundmink,0
20100617,Fundmink,0
20100618,Fundmink,0
20100621,Fundmink,0
20100622,Fundmink,0
20100623,Fundmink,0
20100624,Fundmink,0
20100625,Fundmink,0
20100628,Fundmink,0
20100629,Fundmink,0
20100630,Fundmink,0
20100701,Fundmink,0
20100702,Fundmink,0
20100705,Fundmink,0
20100706,Fundmink,0
20100707,Fundmink,0
20100708,Fundmink,0
20100709,Fundmink,0
20100712,Fundmink,0
20100713,Fundmink,0
20100714,Fundmink,0
20100715,Fundmink,0
20100716,Fundmink,0
20100719,Fundmink,0
20100720,Fundmink,0
20100721,Fundmink,0
20100722,Fundmink,0
20100723,Fundmink,0
20100726,Fundmink,0
20100727,Fundmink,0
20100728,Fundmink,0
20100729,Fundmink,0
20100730,Fundmink,0
20100802,Fundmink,0
20100803,Fundmink,0
20100804,Fundmink,0
20100805,Fundmink,0
20100806,Fundmink,0
20100809,Fundmink,0
20100810,Fundmink,0
20100811,Fundmink,0
20100812,Fundmink,0
20100813,Fundmink,0
20100816,Fundmink,0
20100817,Fundmink,0
20100818,Fundmink,0
20100819,Fundmink,0
20100820,Fundmink,0
20100823,Fundmink,0
20100824,Fundmink,0
20100825,Fundmink,0
20100826,Fundmink,0
20100827,Fundmink,0
20100830,Fundmink,0
20100831,Fundmink,0
20100901,Fundmink,0
20100902,Fundmink,0
20100903,Fundmink,0
20100906,Fundmink,0
20100907,Fundmink,0
20100908,Fundmink,0
20100909,Fundmink,0
20100910,Fundmink,0
20100913,Fundmink,0
20100914,Fundmink,0
20100915,Fundmink,0
20100916,Fundmink,0
20100917,Fundmink,0
20100920,Fundmink,0
20100921,Fundmink,0
20100927,Fundmink,0
20100928,Fundmink,0
20100929,Fundmink,0
20100930,Fundmink,0
20101008,Fundmink,0
20101011,Fundmink,0
20101012,Fundmink,0
20101013,Fundmink,0
20101014,Fundmink,0
20101015,Fundmink,0
20101018,Fundmink,0
20101019,Fundmink,0
20101020,Fundmink,0
20101021,Fundmink,0
20101022,Fundmink,0
20101025,Fundmink,0
20101026,Fundmink,0
20101027,Fundmink,0
20101028,Fundmink,0
20101029,Fundmink,0
20101101,Fundmink,0
20101102,Fundmink,0
20101103,Fundmink,0
20101104,Fundmink,0
20101105,Fundmink,0
20101108,Fundmink,0
20101109,Fundmink,0
20101110,Fundmink,0
20101111,Fundmink,0
20101112,Fundmink,0
20101115,Fundmink,0
20101116,Fundmink,0
20101117,Fundmink,0
20101118,Fundmink,0
20101119,Fundmink,0
20101122,Fundmink,0
20101123,Fundmink,0
20101124,Fundmink,0
20101125,Fundmink,0
20101126,Fundmink,0
20101129,Fundmink,0
20101130,Fundmink,0
20101201,Fundmink,0
20101202,Fundmink,0
20101203,Fundmink,0
20101206,Fundmink,0
20101207,Fundmink,0
20101208,Fundmink,0
20101209,Fundmink,0
20101210,Fundmink,0
20101213,Fundmink,0
20101214,Fundmink,0
20101215,Fundmink,0
20101216,Fundmink,0
20101217,Fundmink,0
20101220,Fundmink,0
20101221,Fundmink,0
20101222,Fundmink,0
20101223,Fundmink,0
20101224,Fundmink,0
20101227,Fundmink,0
20101228,Fundmink,0
20101229,Fundmink,0
20101230,Fundmink,0
20101231,Fundmink,0
20100104,Indexmink,0
20100105,Indexmink,0
20100106,Indexmink,0
20100107,Indexmink,0
20100108,Indexmink,0
20100111,Indexmink,0
20100112,Indexmink,0
20100113,Indexmink,0
20100114,Indexmink,0
20100115,Indexmink,0
20100118,Indexmink,0
20100119,Indexmink,0
20100120,Indexmink,0
20100121,Indexmink,0
20100122,Indexmink,0
20100125,Indexmink,0
20100126,Indexmink,0
20100127,Indexmink,0
20100128,Indexmink,0
20100129,Indexmink,0
20100201,Indexmink,0
20100202,Indexmink,0
20100203,Indexmink,0
20100204,Indexmink,0
20100205,Indexmink,0
20100208,Indexmink,0
20100209,Indexmink,0
20100210,Indexmink,0
20100211,Indexmink,0
20100212,Indexmink,0
20100222,Indexmink,0
20100223,Indexmink,0
20100224,Indexmink,0
20100225,Indexmink,0
20100226,Indexmink,0
20100301,Indexmink,0
20100302,Indexmink,0
20100303,Indexmink,0
20100304,Indexmink,0
20100305,Indexmink,0
20100308,Indexmink,0
20100309,Indexmink,0
20100310,Indexmink,0
20100311,Indexmink,0
20100312,Indexmink,0
20100315,Indexmink,0
20100316,Indexmink,0
20100317,Indexmink,0
20100318,Indexmink,0
20100319,Indexmink,0
20100322,Indexmink,0
20100323,Indexmink,0
20100324,Indexmink,0
20100325,Indexmink,0
20100326,Indexmink,0
20100329,Indexmink,0
20100330,Indexmink,0
20100331,Indexmink,0
20100401,Indexmink,0
20100402,Indexmink,0
20100406,Indexmink,0
20100407,Indexmink,0
20100408,Indexmink,0
20100409,Indexmink,0
20100412,Indexmink,0
20100413,Indexmink,0
20100414,Indexmink,0
20100415,Indexmink,0
20100416,Indexmink,0
20100419,Indexmink,0
20100420,Indexmink,0
20100421,Indexmink,0
20100422,Indexmink,0
20100423,Indexmink,0
20100426,Indexmink,0
20100427,Indexmink,0
20100428,Indexmink,0
20100429,Indexmink,0
20100430,Indexmink,0
20100504,Indexmink,0
20100505,Indexmink,0
20100506,Indexmink,0
20100507,Indexmink,0
20100510,Indexmink,0
20100511,Indexmink,0
20100512,Indexmink,0
20100513,Indexmink,0
20100514,Indexmink,0
20100517,Indexmink,0
20100518,Indexmink,0
20100519,Indexmink,0
20100520,Indexmink,0
20100521,Indexmink,0
20100524,Indexmink,0
20100525,Indexmink,0
20100526,Indexmink,0
20100527,Indexmink,0
20100528,Indexmink,0
20100531,Indexmink,0
20100601,Indexmink,0
20100602,Indexmink,0
20100603,Indexmink,0
20100604,Indexmink,0
20100607,Indexmink,0
20100608,Indexmink,0
20100609,Indexmink,0
20100610,Indexmink,0
20100611,Indexmink,0
20100617,Indexmink,0
20100618,Indexmink,0
20100621,Indexmink,0
20100622,Indexmink,0
20100623,Indexmink,0
20100624,Indexmink,0
20100625,Indexmink,0
20100628,Indexmink,0
20100629,Indexmink,0
20100630,Indexmink,0
20100701,Indexmink,0
20100702,Indexmink,0
20100705,Indexmink,0
20100706,Indexmink,0
20100707,Indexmink,0
20100708,Indexmink,0
20100709,Indexmink,0
20100712,Indexmink,0
20100713,Indexmink,0
20100714,Indexmink,0
20100715,Indexmink,0
20100716,Indexmink,0
20100719,Indexmink,0
20100720,Indexmink,0
20100721,Indexmink,0
20100722,Indexmink,0
20100723,Indexmink,0
20100726,Indexmink,0
20100727,Indexmink,0
20100728,Indexmink,0
20100729,Indexmink,0
20100730,Indexmink,0
20100802,Indexmink,0
20100803,Indexmink,0
20100804,Indexmink,0
